File,RelativePath,Folder,ImageQuality,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
RCNX0248.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-29 14:56:24,1,WVWA,
RCNX0249.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-29 14:57:20,1,WVWA,
RCNX0250.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-30 16:05:20,1,WVWA,
RCNX0251.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-07-30 19:02:18,1,WVWA,
RCNX0252.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-31 12:04:38,1,WVWA,
RCNX0253.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-31 12:28:30,1,WVWA,
RCNX0254.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-07-31 12:57:04,1,WVWA,
RCNX0255.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-08-01 14:58:12,1,WVWA,
RCNX0256.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-08-01 18:27:04,1,WVWA,
RCNX0257.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-08-04 12:14:18,1,WVWA,
RCNX0258.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,1,,0,,,,false,false,false, 2020-08-05 02:25:50,1,WVWA,
RCNX0259.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,1,,0,,,,false,false,false, 2020-08-05 03:11:36,1,WVWA,
RCNX0260.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,western grey squirrel,1,,0,,,,false,false,false, 2020-08-06 07:50:42,1,WVWA,
RCNX0261.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,deer,1,,0,,,,false,false,false, 2020-08-06 08:19:10,1,WVWA,
RCNX0262.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,0,,0,,,,false,false,false, 2020-08-06 19:57:28,1,WVWA,
RCNX0263.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,2,,0,,,,false,false,false, 2020-08-06 21:26:44,1,WVWA,
RCNX0264.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,2,,0,,,,false,false,false, 2020-08-06 21:27:10,1,WVWA,
RCNX0265.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,1,,0,,,,false,false,false, 2020-08-06 22:31:36,1,WVWA,
RCNX0266.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,2,,0,,,,false,false,false, 2020-08-06 22:34:38,1,WVWA,
RCNX0267.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,striped skunk,2,,0,,,,false,false,false, 2020-08-06 22:35:10,1,WVWA,
RCNX0268.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,none,1,,0,,,,false,false,false, 2020-08-07 15:51:04,1,WVWA,
RCNX0269.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,,0,,,,false,false,false, 2020-08-08 10:02:32,1,WVWA,
RCNX0270.MP4,,1_6.24.20 to 8.8.20,Ok,false,L. Hernandez,human,2,,0,,,,false,false,false, 2020-08-08 10:02:48,1,WVWA,
