RootFolder,File,RelativePath,Dark,DeleteFlag,Tagger,Species1,NumIndividual1,Species2,NumIndividual2,Notes,HumanType,ImageIssue,IllegalAct,UNID,SavePic,DateTime,CameraNumber,Property,
Lands Camera Photos,IMG_6107.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:05,4,BCHER,
Lands Camera Photos,IMG_6108.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:06,4,BCHER,
Lands Camera Photos,IMG_6109.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:35,4,BCHER,
Lands Camera Photos,IMG_6110.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:36,4,BCHER,
Lands Camera Photos,IMG_6111.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:37,4,BCHER,
Lands Camera Photos,IMG_6112.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:51,4,BCHER,
Lands Camera Photos,IMG_6113.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:52,4,BCHER,
Lands Camera Photos,IMG_6114.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:53,4,BCHER,
Lands Camera Photos,IMG_6115.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:07:59,4,BCHER,
Lands Camera Photos,IMG_6116.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:08:00,4,BCHER,
Lands Camera Photos,IMG_6117.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:08:01,4,BCHER,
Lands Camera Photos,IMG_6118.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:15:10,4,BCHER,
Lands Camera Photos,IMG_6119.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:15:11,4,BCHER,
Lands Camera Photos,IMG_6120.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:15:12,4,BCHER,
Lands Camera Photos,IMG_6121.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:15:16,4,BCHER,
Lands Camera Photos,IMG_6122.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:15:17,4,BCHER,
Lands Camera Photos,IMG_6123.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:15:18,4,BCHER,
Lands Camera Photos,IMG_6124.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:44:31,4,BCHER,
Lands Camera Photos,IMG_6125.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:44:32,4,BCHER,
Lands Camera Photos,IMG_6126.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:44:33,4,BCHER,
Lands Camera Photos,IMG_6127.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:44:34,4,BCHER,
Lands Camera Photos,IMG_6128.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:44:35,4,BCHER,
Lands Camera Photos,IMG_6129.JPG,BCHER\BCHER04-6.17.20-8.7.20\100RECNX,false,false,Jaden Brutsman,none,0,,0,,,,false,false,false, 2020-07-11 09:44:36,4,BCHER,
